airsonic,Music and Podcast server
ansible-semaphore,Ansible Front-end
bitwarden,Password management
bookstack,Ebook server
calibre,Ebook server
chevereto,Image hosting
cloud-torrent,Remote torrent client
code-server,VS Code on a remote server
couchpotato,Automatic Movie Downloading
cyberchef,Web app for encryption, encoding, compression
dailynotes,Notes taking app
deluge,BitTorrent Client
drawio,Diagram software
duplicati,Backup software to store encrypted backups
firefly-iii,Personal finance manager
freshrss,RSS
gitea,Git service
gitlab,Gitlab service
glances,System monitoring tool
grafana,Analytics and monitoring solution
graylog,log management
guacamole,Clientless remote desktop gateway
headphones,Automated Music Downloader
htpc-download-box,All in one torrent downloader
huginn,Create agents that monitor and act on your behalf
invidious,Alternative front-end to YouTube
jackett,API Support for your favorite torrent trackers
jellyfin,Software media system
jenkins,Automation server
jupyterhub,Multi-user server for Jupyter
jupyterlab,Single-user server for Jupyter
kdedocker,KDE in Browser
keycloak,Identity and access management
komga,Media server for comics/mangas/BDs
liberapay,Recurrent donations platform
linkd,link shortener
lodestone,Personal document archiving
lychee,Photo management system
mailcow,Mailserver docker
mango,Manga server
mcmyadmin,Minecraft admin system
medusa,Automatic video Library Manager for TV Shows
minecraft,Minecraft Server
monica,Personal CRM
mylar,Comic Book downloader
neko,Virtual browser
netdata,Real-time performance monitoring
nextcloud,File share and collaboration platform
olaris,Media manager and transcoding server
open-streaming-platform,Video streaming and recording
openldap,Ldap
openvpn,VPN
osjs,Osjs
paperless,Archive all of your paper documents
piwigo,Photo gallery software
plex,Collection of movies, TV, music, and photos
portainer,Manage your Docker environments
privatebin,Pastebin
pyload,Download manager
qbittorent-vpn,qbittorent VPN
radarr,Sonarr for movie
recipes,Django application for managing recipes
rocketchat,Simple chat server
shiori,Bookmark manager
sonarr,Smart PVR newsgroup and bittorrent users
spiderfoot,Intelligence (OSINT) automation tool
statping,Status Page for monitoring your websites
syncthing,Alternative Google drive/Dropbox
tautulli,Monitor your Plex
tdarr,Audio/Video library analytics, transcode
teamspeak,Voice chat application
traefik,Edge router
ubuntuxrdp,Ubuntu desktop with xrdp server
wallabag,Read-it-later
wireguard,VPN
